Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"Nike, Inc.",NKE,"$90,655,335,712",$0.12,time-after-hours,May/2025,14,$1.01,2025-06-26 05:22:08
Ferrovial SE,FER,"$37,521,695,393",,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
"McCormick & Company, Incorporated",MKC,"$20,036,255,028",$0.65,time-pre-market,May/2025,6,$0.69,2025-06-26 05:22:08
"McCormick & Company, Incorporated",MKC.V,"$19,963,844,523",,time-pre-market,May/2025,1,$0.69,2025-06-26 05:22:08
"Walgreens Boots Alliance, Inc.",WBA,"$9,814,775,142",$0.34,time-pre-market,May/2025,5,$0.63,2025-06-26 05:22:08
Acuity Inc.,AYI,"$8,790,603,409",$4.11,time-pre-market,May/2025,5,$3.86,2025-06-26 05:22:08
Telix Pharmaceuticals Limited,TLX,"$5,492,828,799",$0.22,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
Concentrix Corporation,CNXC,"$3,454,818,436",$2.50,time-after-hours,May/2025,1,$2.44,2025-06-26 05:22:08
Enerpac Tool Group Corp.,EPAC,"$2,345,121,871",,time-after-hours,May/2025,N/A,$0.47,2025-06-26 05:22:08
Ermenegildo Zegna N.V.,ZGN,"$2,232,806,130",$0.15,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
Lindsay Corporation,LNN,"$1,501,834,109",$1.36,time-pre-market,May/2025,2,$1.41,2025-06-26 05:22:08
"TechTarget, Inc.",TTGT,"$518,295,250",$0,time-not-supplied,Mar/2025,1,($0.02),2025-06-26 05:22:08
SEALSQ Corp,LAES,"$400,269,091",,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
HIVE Digital Technologies Ltd,HIVE,"$334,630,307",($0.11),time-pre-market,Mar/2025,4,($0.03),2025-06-26 05:22:08
Youxin Technology Ltd,YAAS,"$187,209,000",,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
Outdoor Holding Company,POWW,"$155,362,831",($0.02),time-not-supplied,Mar/2025,1,$0.01,2025-06-26 05:22:08
"American Outdoor Brands, Inc.",AOUT,"$140,974,147",($0.07),time-after-hours,Apr/2025,1,($0.08),2025-06-26 05:22:08
"Kandi Technologies Group, Inc.",KNDI,"$95,220,475",,time-not-supplied,Mar/2025,1,$0.01,2025-06-26 05:22:08
Cheche Group Inc.,CCG,"$63,659,633",,time-not-supplied,Mar/2025,1,($0.02),2025-06-26 05:22:08
"PodcastOne, Inc.",PODC,"$56,266,151",($0.04),time-not-supplied,Mar/2025,2,($0.05),2025-06-26 05:22:08
"Syntec Optics Holdings, Inc.",OPTX,"$49,529,159",,time-not-supplied,Mar/2025,1,($0.03),2025-06-26 05:22:08
"Maxeon Solar Technologies, Ltd.",MAXN,"$49,338,449",,time-not-supplied,Mar/2025,1,($99.99),2025-06-26 05:22:08
Medicus Pharma Ltd.,MDCX,"$32,873,024",($0.39),time-not-supplied,Jun/2025,1,($0.25),2025-06-26 05:22:08
Moolec Science SA,MLEC,"$29,051,832",,time-not-supplied,Mar/2025,1,($0.40),2025-06-26 05:22:08
Argo Blockchain plc,ARBK,"$26,718,553",,time-not-supplied,Mar/2025,N/A,($0.10),2025-06-26 05:22:08
Mobilicom Limited,MOB,"$21,963,037",,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
Castor Maritime Inc.,CTRM,"$21,450,426",,time-not-supplied,Mar/2025,1,$0.71,2025-06-26 05:22:08
Mexco Energy Corporation,MXC,"$19,897,350",,time-not-supplied,Mar/2025,1,$0.12,2025-06-26 05:22:08
"Orion Energy Systems, Inc.",OESX,"$19,504,340",($0.06),time-pre-market,Mar/2025,1,($0.01),2025-06-26 05:22:08
REE Automotive Ltd.,REE,"$17,377,926",($0.82),time-not-supplied,Mar/2025,1,($1.96),2025-06-26 05:22:08
Enlightify Inc.,ENFY,"$15,844,637",,time-not-supplied,Mar/2025,1,($0.79),2025-06-26 05:22:08
OceanPal Inc.,OP,"$15,085,014",,time-not-supplied,Mar/2025,1,($0.23),2025-06-26 05:22:08
Trinity Biotech plc,TRIB,"$13,042,413",($0.57),time-not-supplied,Mar/2025,1,($0.37),2025-06-26 05:22:08
BP Prudhoe Bay Royalty Trust,BPT,"$11,128,000",,time-not-supplied,Mar/2025,1,N/A,2025-06-26 05:22:08
Cambium Networks Corporation,CMBM,"$10,492,575",($0.20),time-not-supplied,Mar/2025,2,($0.53),2025-06-26 05:22:08
Origin Agritech Limited,SEED,"$9,431,997",,time-after-hours,Mar/2025,1,N/A,2025-06-26 05:22:08
Emerson Radio Corporation,MSN,"$8,419,144",,time-not-supplied,Mar/2025,1,($0.04),2025-06-26 05:22:08
Naas Technology Inc.,NAAS,"$4,610,157",,time-not-supplied,Mar/2025,1,($5.60),2025-06-26 05:22:08
Senmiao Technology Limited,AIHS,"$3,437,295",,time-not-supplied,Mar/2025,1,($0.14),2025-06-26 05:22:08
"Aethlon Medical, Inc.",AEMD,"$3,257,368",($0.98),time-after-hours,Mar/2025,1,($7.28),2025-06-26 05:22:08
Marin Software Incorporated,MRIN,"$2,703,680",,time-not-supplied,Mar/2025,1,($0.78),2025-06-26 05:22:08
