Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Coca-Cola Europacific Partners plc,CCEP,"$41,066,048,620",,time-not-supplied,Mar/2025,1,N/A,2025-05-30 05:20:42
KT Corporation,KT,"$9,430,151,809",,time-not-supplied,Mar/2025,N/A,$0.57,2025-05-30 05:20:42
Sibanye Stillwater Limited,SBSW,"$4,359,073,587",,time-not-supplied,Mar/2025,1,N/A,2025-05-30 05:20:42
Chagee Holdings Limited,CHA,"$3,652,356,241",,time-pre-market,Mar/2025,1,N/A,2025-05-30 05:20:42
UP Fintech Holding Limited,TIGR,"$1,596,090,969",,time-pre-market,Mar/2025,N/A,$0.08,2025-05-30 05:20:42
"Shoe Carnival, Inc.",SCVL,"$518,759,353",$0.27,time-pre-market,Apr/2025,1,$0.64,2025-05-30 05:20:42
Net Lease Office Properties,NLOP,"$463,680,548",,time-not-supplied,Mar/2025,1,$1.35,2025-05-30 05:20:42
Gencor Industries Inc.,GENC,"$197,585,823",,time-not-supplied,Mar/2025,1,$0.42,2025-05-30 05:20:42
Canopy Growth Corporation,CGC,"$181,352,588",($0.10),time-pre-market,Mar/2025,1,($0.28),2025-05-30 05:20:42
ALT5 Sigma Corporation,ALTS,"$154,997,381",,time-not-supplied,Mar/2025,1,($0.34),2025-05-30 05:20:42
"Vroom, Inc.",VRM,"$112,559,373",,time-not-supplied,Mar/2025,1,($99.99),2025-05-30 05:20:42
Bridgford Foods Corporation,BRID,"$71,979,278",,time-not-supplied,Apr/2025,1,($0.24),2025-05-30 05:20:42
Nutriband Inc.,NTRB,"$70,382,819",($0.13),time-not-supplied,Apr/2025,1,($0.21),2025-05-30 05:20:42
FST Corp.,KBSX,"$60,399,010",,time-not-supplied,Mar/2025,1,($0.10),2025-05-30 05:20:42
North European Oil Royality Trust,NRT,"$46,320,574",,time-not-supplied,Apr/2025,1,$0.20,2025-05-30 05:20:42
180 Degree Capital Corp.,TURN,"$40,200,567",,time-not-supplied,Mar/2025,1,N/A,2025-05-30 05:20:42
Toro Corp.,TORO,"$34,976,120",,time-not-supplied,Mar/2025,1,$0.51,2025-05-30 05:20:42
Safe & Green Holdings Corp.,SGBX,"$7,922,411",,time-not-supplied,Mar/2025,1,($4.93),2025-05-30 05:20:42
"VivoSim Labs, Inc.",VIVS,"$3,456,000",,time-not-supplied,Mar/2025,N/A,($3.48),2025-05-30 05:20:42
CIMG Inc.,IMG,"$2,395,975",,time-not-supplied,Mar/2025,1,($1.28),2025-05-30 05:20:42
