form,company,ticker,cik,filing_date,accession_number,filing_link
8-K,"1895 Bancorp of Wisconsin, Inc. /MD/",BCOW,1847360,2025-02-18,0000943374-25-000107,https://www.sec.gov/Archives/edgar/data/1847360/0000943374-25-000107.txt
8-K,"5E Advanced Materials, Inc.",FEAV,1888654,2025-02-18,0000950170-25-022315,https://www.sec.gov/Archives/edgar/data/1888654/0000950170-25-022315.txt
8-K,AB Private Credit Investors Corp,,1634452,2025-02-18,0001193125-25-028137,https://www.sec.gov/Archives/edgar/data/1634452/0001193125-25-028137.txt
8-K,"ADAPTIN BIO, INC.",,1938571,2025-02-18,0001213900-25-014630,https://www.sec.gov/Archives/edgar/data/1938571/0001213900-25-014630.txt
8-K,"AG Mortgage Investment Trust, Inc.",MITT-PC,1514281,2025-02-18,0001514281-25-000018,https://www.sec.gov/Archives/edgar/data/1514281/0001514281-25-000018.txt
8-K,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,ASPS,1462418,2025-02-18,0001462418-25-000006,https://www.sec.gov/Archives/edgar/data/1462418/0001462418-25-000006.txt
8-K,AMERICAN EXPRESS CO,AXP,4962,2025-02-18,0000004962-25-000020,https://www.sec.gov/Archives/edgar/data/4962/0000004962-25-000020.txt
8-K,ANTERO RESOURCES Corp,AR,1433270,2025-02-18,0001104659-25-014835,https://www.sec.gov/Archives/edgar/data/1433270/0001104659-25-014835.txt
8-K,ASBURY AUTOMOTIVE GROUP INC,ABG,1144980,2025-02-18,0001144980-25-000011,https://www.sec.gov/Archives/edgar/data/1144980/0001144980-25-000011.txt
8-K,ASCENT INDUSTRIES CO.,ACNT,95953,2025-02-18,0000095953-25-000002,https://www.sec.gov/Archives/edgar/data/95953/0000095953-25-000002.txt
8-K,AbCellera Biologics Inc.,ABCL,1703057,2025-02-18,0001628280-25-005983,https://www.sec.gov/Archives/edgar/data/1703057/0001628280-25-005983.txt
8-K,Adeia Inc.,ADEA,1803696,2025-02-18,0000950170-25-022198,https://www.sec.gov/Archives/edgar/data/1803696/0000950170-25-022198.txt
8-K,"Algorhythm Holdings, Inc.",RIME,923601,2025-02-18,0001493152-25-007217,https://www.sec.gov/Archives/edgar/data/923601/0001493152-25-007217.txt
8-K,Allegion plc,ALLE,1579241,2025-02-18,0001579241-25-000006,https://www.sec.gov/Archives/edgar/data/1579241/0001579241-25-000006.txt
8-K,Amerant Bancorp Inc.,AMTB,1734342,2025-02-18,0001734342-25-000017,https://www.sec.gov/Archives/edgar/data/1734342/0001734342-25-000017.txt
8-K,"American Clean Resources Group, Inc.",,773717,2025-02-18,0001213900-25-014606,https://www.sec.gov/Archives/edgar/data/773717/0001213900-25-014606.txt
8-K,"American Clean Resources Group, Inc.",,773717,2025-02-18,0001213900-25-014608,https://www.sec.gov/Archives/edgar/data/773717/0001213900-25-014608.txt
8-K,"Andersons, Inc.",ANDE,821026,2025-02-18,0000821026-25-000042,https://www.sec.gov/Archives/edgar/data/821026/0000821026-25-000042.txt
8-K,"Angel Oak Mortgage REIT, Inc.",AOMN,1766478,2025-02-18,0001766478-25-000006,https://www.sec.gov/Archives/edgar/data/1766478/0001766478-25-000006.txt
8-K,"Angel Studios, Inc.",,1671941,2025-02-18,0001104659-25-014717,https://www.sec.gov/Archives/edgar/data/1671941/0001104659-25-014717.txt
8-K,Angi Inc.,ANGI,1705110,2025-02-18,0001104659-25-014792,https://www.sec.gov/Archives/edgar/data/1705110/0001104659-25-014792.txt
8-K,AppTech Payments Corp.,APCXW,1070050,2025-02-18,0001683168-25-001066,https://www.sec.gov/Archives/edgar/data/1070050/0001683168-25-001066.txt
8-K,Aptose Biosciences Inc.,APTO,882361,2025-02-18,0001171843-25-000896,https://www.sec.gov/Archives/edgar/data/882361/0001171843-25-000896.txt
8-K,Aramark,ARMK,1584509,2025-02-18,0001584509-25-000056,https://www.sec.gov/Archives/edgar/data/1584509/0001584509-25-000056.txt
8-K,"Arcus Biosciences, Inc.",RCUS,1724521,2025-02-18,0001193125-25-028110,https://www.sec.gov/Archives/edgar/data/1724521/0001193125-25-028110.txt
8-K,"Arista Networks, Inc.",ANET,1596532,2025-02-18,0001596532-25-000018,https://www.sec.gov/Archives/edgar/data/1596532/0001596532-25-000018.txt
8-K,"Arteris, Inc.",AIP,1667011,2025-02-18,0001667011-25-000009,https://www.sec.gov/Archives/edgar/data/1667011/0001667011-25-000009.txt
8-K,Artificial Intelligence Technology Solutions Inc.,AITX,1498148,2025-02-18,0001062993-25-002629,https://www.sec.gov/Archives/edgar/data/1498148/0001062993-25-002629.txt
8-K,Avalon GloboCare Corp.,ALBT,1630212,2025-02-18,0001213900-25-014619,https://www.sec.gov/Archives/edgar/data/1630212/0001213900-25-014619.txt
8-K,"Axsome Therapeutics, Inc.",AXSM,1579428,2025-02-18,0000950170-25-021801,https://www.sec.gov/Archives/edgar/data/1579428/0000950170-25-021801.txt
8-K,BEL FUSE INC /NJ,BELFB,729580,2025-02-18,0001437749-25-004235,https://www.sec.gov/Archives/edgar/data/729580/0001437749-25-004235.txt
8-K,BIG LOTS INC,BIGGQ,768835,2025-02-18,0000768835-25-000004,https://www.sec.gov/Archives/edgar/data/768835/0000768835-25-000004.txt
8-K,"BIO-PATH HOLDINGS, INC.",BPTH,1133818,2025-02-18,0001558370-25-001051,https://www.sec.gov/Archives/edgar/data/1133818/0001558370-25-001051.txt
8-K,BLACKBAUD INC,BLKB,1280058,2025-02-18,0001280058-25-000007,https://www.sec.gov/Archives/edgar/data/1280058/0001280058-25-000007.txt
